name,area,century,nationality
Vasily Chichagov,Northern Sea Route,18th,Russian
Aleksei Chirikov,Great Northern Expedition,18th,Russian
Fletcher Christian,Polynesia,18th,English
Boris Chukhnovsky,Arctic,20th,Russian
Hugh Clapperton,west and Central Africa,19th,Scottish
William Clark,Western United States,19th,American
Gonçalo Coelho,South American coast,15th,Portuguese
Gonçalo Coelho,South American coast,16th,Portuguese
Nicolau Coelho,Brazil,15th,Portuguese
Frank Cole,Sahara,20th,Canadian
Bartholomew Columbus,"Hispaniola, The Antilles",15th,Italian
Bartholomew Columbus,"Hispaniola, The Antilles",15th,Genoese
Bartholomew Columbus,"Hispaniola, The Antilles",16th,Italian
Bartholomew Columbus,"Hispaniola, The Antilles",16th,Genoese
Christopher Columbus[5],"Bahamas, Caribbean, Central America, South America (Colombia and Venezuela)",15th,Italian
Christopher Columbus[5],"Bahamas, Caribbean, Central America, South America (Colombia and Venezuela)",15th,Genoese
Christopher Columbus[5],"Bahamas, Caribbean, Central America, South America (Colombia and Venezuela)",16th,Italian
Christopher Columbus[5],"Bahamas, Caribbean, Central America, South America (Colombia and Venezuela)",16th,Genoese
Diego Columbus,Hispaniola (Mainly Dominican Republic),16th,Portuguese
George Comer,Arctic,19th,American
George Comer,Arctic,20th,American
Niccolò Da Conti,"India, Southeast Asia",15th,Italian
Niccolò Da Conti,"India, Southeast Asia",15th,Venetian
Frederick Cook,Arctic,19th,American
Frederick Cook,Arctic,20th,American
James Cook,"Australasia, Oceania",18th,English
Francisco Vásquez de Coronado,New Mexico,16th,Spanish
Diogo Álvares Correia,Brazil,16th,Portuguese
Gaspar Côrte-Real,"Newfoundland, Greenland",16th,Portuguese
João Côrte-Real,"Azores, Newfoundland (Possible exploration of North America in 1473)",15th,Portuguese
Miguel Côrte-Real,"Greenland, Newfoundland, Massachusetts",16th,Portuguese
Hernán Cortés,Mexico,16th,Spanish
Juan de la Cosa,"Caribbean, South America",15th,Spanish
Juan de la Cosa,"Caribbean, South America",16th,Spanish
Thomas Coulter,"Mexico, Alta California",19th,Irish
Jean Cousin,Possibly the Americas around 1488. Possibly mouth of the Amazon River,15th,French
Jacques-Yves Cousteau,the deep sea,20th,French
Pêro da Covilhã,"India, Ethiopia",15th,Portuguese
Pêro da Covilhã,"India, Ethiopia",16th,Portuguese
Tom Crean,Antarctica,20th,Irish
Andrew Croft,Arctic,20th,English
Tristão da Cunha,Tristan da Cunha islands,16th,Portuguese
Jeremy Curl,African continent,20th,English
Jeremy Curl,African continent,20th,Irish
William Healey Dall,"Alaska, Yukon",19th,American
William Dampier,"Australia, Panama, many other locations",17th,English
William Dampier,"Australia, Panama, many other locations",18th,English
Alexandra David-Néel,Tibet (Traveled to Lhasa),20th,French
Alexandra David-Néel,Tibet (Traveled to Lhasa),20th,Belgian
Isaac Davis,Hawaii,18th,Welsh
John Davis,"East Indies, Falkland Islands",16th,English
Wang Dayuan,"Southeast Asia, Singapore",14th,Chinese
Semyon Dezhnev,"Siberia, Bering Strait (80 years before Vitus Bering)",17th,Russian
Bartolomeu Dias,Africa,15th,Portuguese
Dinis Dias,Northwest African coast,15th,Portuguese
Diogo Dias,"Madagascar, Somalia",16th,Portuguese
Pêro Dias,African coast,15th,Portuguese
Dicuil,"England, Scotland",8th,Irish
Karl von Ditmar,Kamchatka,19th,Baltic
Karl von Ditmar,Kamchatka,19th,German
Raphaël Domjan,various,21st,Swiss
Raphaël Domjan,various,21st,people
Francis Drake,"Caribbean, Pacific Coast of North America",16th,English
Gil Eanes,Northwest African coast,15th,Portuguese
Juan Sebastián Elcano,completed Ferdinand Magellan's circumnavigation,16th,Spanish
Francisco de Eliza,Strait of Juan de Fuca and Strait of Georgia,18th,Spanish
Lincoln Ellsworth,Arctic and Antarctica,20th,American
Franz Engel,South America,19th,German
Leif Eriksson,Vinland (Newfoundland) and North American mainland (Canada),11th,Norse
