,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,User_lat,User_lng
61,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Louise Nicholas,8649,999,United Kingdom,False,0,54,2020-10-07 15:48:00,54.7023545,-3.2765753
62,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Dr Barbora Wouters,2134,618,"Gent, Belgium",False,0,54,2020-10-07 15:45:53,51.0538286,3.7250121
63,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Iris Rodríguez Alcaide,6048,2423,🌇 Madriz,False,0,54,2020-10-07 15:35:10,13.510956,-86.3423061
64,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Tine Rassalle,2718,545,North Carolina,False,0,54,2020-10-07 15:32:17,35.6729639,-79.0392919
65,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",RedInt,6377,786,대한민국 서울,False,0,54,2020-10-07 15:31:57,37.5666791,126.9782914
66,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Francesc C. Conesa,2384,437,TGN - La Laguna - Cambridge,False,0,54,2020-10-07 15:26:51,,
67,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Bartomeu Vallori,3947,507,"Illes Balears, Espanya",False,0,54,2020-10-07 15:25:03,39.6134018,2.8804305326400756
68,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Mª del Mar Rodríguez,19508,1155,Madrid y Albalate de Zorita,False,0,54,2020-10-07 15:24:27,40.3087162,-2.8427164
69,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",K. White,30765,532,,False,0,54,2020-10-07 15:22:54,,
70,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Ivan Briz Godino,9495,286,"Ushuaia, Argentina",False,0,54,2020-10-07 15:22:35,-54.8069332,-68.3073246
71,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Hans Huisman,494,141,,False,0,54,2020-10-07 15:19:55,,
72,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Sara Gutierrez Enriq,6358,315,"la Vall d'Hebron, Barcelona",False,0,54,2020-10-07 15:19:15,41.4249128,2.1423965
73,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",erik champion,32582,1639,"Perth, Australia",False,0,54,2020-10-07 15:17:48,-31.9527121,115.8604796
74,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Enrico R. Crema,1050,1043,"London, Europe",False,0,54,2020-10-07 15:15:48,51.4932696,0.0553015
75,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Alison Atkinson-Phillip,37988,1786,"Newcastle Upon Tyne, England",False,0,54,2020-10-07 15:15:44,54.9738474,-1.6131572
76,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Shawn Graham,32598,5982,the interwebs,False,0,54,2020-10-07 15:13:33,42.6410472,-70.6165149
77,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Josema Galán,7979,367,,False,0,54,2020-10-07 15:10:49,,
78,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Rebecca O'S,816,218,,False,0,54,2020-10-07 15:10:32,,
79,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",dr Iza Romanowska,6305,1871,,False,0,54,2020-10-07 15:08:20,,
80,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Linda Bjerketvedt,505,370,Scottish Borders,False,0,54,2020-10-07 15:08:01,55.583333,-2.833333
81,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Pol Junyent,4451,819,Igualada,False,0,54,2020-10-07 15:07:48,41.5790182,1.617346
82,"RT @xrubiocampillo: Do you want to pursue a PhD on #heritage, #archaeogaming, #game-based learning or #digitalhumanities? At @didpatri we a…",Maria Feliu-Torruella,1116,479,,False,0,54,2020-10-07 15:06:32,,
