Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",Purevdorj Enkhjargal,175113,2984,Mongolia,False,0,31,2020-12-06 19:26:54,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",Friday,274110,1148,,False,0,31,2020-12-06 19:26:53,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",DataScienceRush,7712,213,"London, UK",False,0,31,2020-12-06 19:26:53,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
"RT @Eli_Krumova: Hypothesis: Difference between conditions/ groups/ means🔍🔖

v/ @SourabhSKatoch
#Python #MachineLearning #ML #AI #DL #100Da…",DataScienceRush,7712,213,"London, UK",False,0,19,2020-12-06 19:26:50,"['Python', 'MachineLearning', 'ML', 'AI', 'DL']",[],,
"RT @Eli_Krumova: Hypothesis: Difference between conditions/ groups/ means🔍🔖

v/ @SourabhSKatoch
#Python #MachineLearning #ML #AI #DL #100Da…",Friday,274110,1148,,False,0,19,2020-12-06 19:26:50,"['Python', 'MachineLearning', 'ML', 'AI', 'DL']",[],,
"RT @Eli_Krumova: #DeepLearning with #PyTorch: #Deploying 1st #NeuralNetwork 👨🏽‍💻🔰
⬇️
https://t.co/Ok7SNpsxKJ
v/ @SourabhSKatoch

#DL #Machi…",Host-Info.net🍂,75777,478,127.0.0.1,False,0,31,2020-12-06 19:26:47,"['DeepLearning', 'PyTorch', 'Deploying', 'NeuralNetwork', 'DL']",[],,
"RT @Eli_Krumova: Hypothesis: Difference between conditions/ groups/ means🔍🔖

v/ @SourabhSKatoch
#Python #MachineLearning #ML #AI #DL #100Da…",Host-Info.net🍂,75777,478,127.0.0.1,False,0,19,2020-12-06 19:26:44,"['Python', 'MachineLearning', 'ML', 'AI', 'DL']",[],,
"RT @Udemy_Coupons1: Learn Entire Exports Digital Marketing: 18 Courses in Just 1 |100%OFF https://t.co/gJNgg1dIJa

#MachineLearning #BigDat…",DataScienceRush,7712,213,"London, UK",False,0,20,2020-12-06 19:26:15,['MachineLearning'],[],,
"RT @Udemy_Coupons1: Learn Entire Exports Digital Marketing: 18 Courses in Just 1 |100%OFF https://t.co/gJNgg1dIJa

#MachineLearning #BigDat…",Alvin Gardner,8313,131,,False,0,20,2020-12-06 19:26:15,['MachineLearning'],[],,
"RT @Udemy_Coupons1: Learn Entire Exports Digital Marketing: 18 Courses in Just 1 |100%OFF https://t.co/gJNgg1dIJa

#MachineLearning #BigDat…",Friday,274110,1148,,False,0,20,2020-12-06 19:26:15,['MachineLearning'],[],,
"RT @Udemy_Coupons1: Learn Entire Exports Digital Marketing: 18 Courses in Just 1 |100%OFF https://t.co/gJNgg1dIJa

#MachineLearning #BigDat…",Douglas Belcher,14796,222,"St Louis, MO",False,0,20,2020-12-06 19:26:10,['MachineLearning'],[],,
"RT @KirkDBorne: Make Your Twitter Feed Artificial Intelligence-Friendly: https://t.co/wMFozoC82I 
——————
#BigData #DataScience #AI #DataMin…",DataScienceRush,7712,213,"London, UK",False,0,27,2020-12-06 19:25:52,"['BigData', 'DataScience', 'AI']",[],,
"RT @KirkDBorne: Make Your Twitter Feed Artificial Intelligence-Friendly: https://t.co/wMFozoC82I 
——————
#BigData #DataScience #AI #DataMin…",thepythoncode,11421,231,,False,0,27,2020-12-06 19:25:46,"['BigData', 'DataScience', 'AI']",[],,
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,DataScienceRush,7712,213,"London, UK",False,0,20,2020-12-06 19:25:31,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
"RT @Udemy_Coupons1: Python And Flask Framework | 100%OFF #udemycoupon https://t.co/acg59XUQPd

#MachineLearning #BigData #Analytics #DataSc…",DataScienceRush,7712,213,"London, UK",False,0,13,2020-12-06 19:25:31,"['udemycoupon', 'MachineLearning', 'BigData', 'Analytics']",[],,
"RT @HayekGaby: Greatest Of Ideas Are Whose Time Have Come..You Talk Abt Them Because They Will Be Coming SOON!
#Entrepreneur #StartUp #busi…",Alvin Gardner,8313,131,,False,0,2,2020-12-06 19:23:39,"['Entrepreneur', 'StartUp']",[],,
"Greatest Of Ideas Are Whose Time Have Come..You Talk Abt Them Because They Will Be Coming SOON!
#Entrepreneur… https://t.co/6PpAYk3I5w",gaby hayek,3690,1285,"montreal,nyc,beirut",False,2,2,2020-12-06 19:23:34,['Entrepreneur'],[],,
"RT @ingliguori: Top 9 #DataScience Algorithms
👉 https://t.co/YzrdPO8Qpv
By @DataFlairWS via @ingliguori 
#Analytics #MachineLearning #ML #A…",C-Suite Tech Point,21716,7284,USA,False,0,25,2020-12-06 19:22:28,"['DataScience', 'Analytics', 'MachineLearning', 'ML']",[],,
"RT @Udemy_Coupons1: Python And Flask Framework | 100%OFF #udemycoupon https://t.co/acg59XUQPd

#MachineLearning #BigData #Analytics #DataSc…",CodeFlaw,54196,928,India,False,0,13,2020-12-06 19:22:16,"['udemycoupon', 'MachineLearning', 'BigData', 'Analytics']",[],,
"RT @KirkDBorne: Make Your Twitter Feed Artificial Intelligence-Friendly: https://t.co/wMFozoC82I 
——————
#BigData #DataScience #AI #DataMin…",Maxim Lyashko,73981,1477,,False,0,27,2020-12-06 19:21:36,"['BigData', 'DataScience', 'AI']",[],,
"RT @KirkDBorne: Top #AI and #MachineLearning research papers of 2020: https://t.co/uuhVSuRGxD via @topbots 
——————
#BigData #DataScience #D…",Maxim Lyashko,73981,1477,,False,0,32,2020-12-06 19:21:28,"['AI', 'MachineLearning', 'BigData', 'DataScience']",[],,
